feature,score
NADH010104,0.21530521795561658
percent_disoder,0.21082298038551311
V,0.1273934191792831
S,0.11969325680956339
R,0.0991535618879618
Q,0.08604033315566212
K,0.08279078469457875
G,0.0780906248580175
D,0.0763427516839449
F,0.07565886591631359
P,0.07433427244992108
AD,0.06327100730516465
W,0.06115201287325087
AN,0.054566506290966
shannon_entropy,0.04952957209677216
E,0.04948914637065348
A,0.0471112623089488
AL,0.04594436058986862
Y,0.04551663743211805
AI,0.044795035534049135
AF,0.03660111219412161
I,0.035470807236508244
AP,0.03365177028717898
T,0.03210924371227046
AC,0.030946707078149758
AK,0.030336808502719314
AA,0.029110224635153115
AR,0.02888862450006585
AG,0.025864946780922903
AT,0.025224685866170885
AS,0.024034013705839595
C,0.023447304102171853
AH,0.021914116757356248
AM,0.020769115052711198
AQ,0.020342223621606672
H,0.016322089594447045
N,0.009897664539949395
X,0.007040850894393937
L,0.006957643470346576
M,0.006474370860531022
U,0.004627206090644838
AE,0.0033104004922597722
Z,0.0023670529168124937
DG,0.06605138643454501
DA,0.0481871203861258
AV,0.04420381326573654
DT,0.036619864749283484
AW,0.03346755906022494
DP,0.03142942323282613
AY,0.029788865016600816
CY,0.02944188856221381
DF,0.028879680581706875
CV,0.027470304357033345
CA,0.027144433882149304
CI,0.026423448749805442
DM,0.02227176803794535
DL,0.020530795623634617
CC,0.020139765280780705
CQ,0.01959529288823101
DN,0.017791564540777943
DS,0.01764569381668248
CG,0.016753121493476544
CF,0.016645363867129368
CR,0.01518171615569353
DH,0.014118497408527416
CH,0.014070804090194823
CW,0.013893110708427052
CT,0.013534314640007943
DR,0.012876349354267467
DC,0.008639075445300667
CL,0.007106049087791633
DD,0.006940573532344909
CS,0.00603255824090922
CM,0.005942926583438508
CN,0.005644003985957637
CP,0.0048731722060317935
CD,0.004804519957551308
DI,0.0036419012225253873
AX,0.0033250629103468883
CE,0.003318089286398074
DK,0.002747212978557034
CX,0.002367052916812501
DQ,0.0016355271259012698
CK,0.0006513227918531441
DE,0.00027554415297800994
ER,0.0544046690902361
EL,0.04892337898810736
FA,0.05768108976217021
DV,0.049913825856039304
FD,0.04797346599100883
EQ,0.042698940365788286
DY,0.03913410836049117
FL,0.03874131479794157
EK,0.0382687508930663
FG,0.03490967265744271
EE,0.03364797686382355
FT,0.03238924688476832
ES,0.03131189760664276
FI,0.030780988325347054
FM,0.027910734811694093
EP,0.027538362284939725
FF,0.025983658965072425
DW,0.025648633123770498
EI,0.025321962571496714
EN,0.020921482196759964
EF,0.019017440632742015
ET,0.018551660528436688
EV,0.016055995747680133
FP,0.014774293364720236
EH,0.013526898984326316
FQ,0.011442628833880206
EW,0.011066051485822282
FN,0.010541136132497927
EM,0.010171038318756436
FH,0.009783644609080535
EA,0.009440029161931198
EY,0.006778018182844721
EG,0.004714033541730873
FE,0.0037415673519242206
FK,0.003586955821552302
ED,0.0035677076424861184
FC,0.003156195030569946
EX,0.003001775804895589
EC,0.0028742872198793015
DX,0.002658653530303749
FU,0.0023670529168125032
EZ,0.0023670529168124937
FR,0.0010362749216214274
FS,0.00010899691001156942
GT,0.08004925271924926
GD,0.06204715137521538
GV,0.06128350355820159
GY,0.048103911137382764
GI,0.042933811623861895
FV,0.04032415351021084
GA,0.038202690166750236
GW,0.037696892078770416
HH,0.04037962206548415
FY,0.03850384510711339
HQ,0.038007164635988654
HR,0.03533318221418582
HS,0.033715239015374925
HG,0.0334738722667616
HP,0.03215217420023889
HD,0.0295559642109013
GC,0.027383549559593025
GL,0.026100491456431823
GR,0.025574876765081057
GH,0.024051810822021378
GF,0.024003875273047922
HC,0.023916178363701284
HF,0.02231406766725404
GN,0.02216310713475549
HM,0.020543107055281753
HL,0.020370467499990164
GM,0.019459948023774043
FW,0.016506168329773693
HT,0.01533178594322889
HA,0.013990587632213732
GG,0.012458497167580245
GK,0.010995615150116864
HK,0.010156120203896965
GQ,0.00962602838881184
GP,0.007488235071535789
GE,0.006462146770144732
GS,0.006248593333256785
HI,0.005050243586653639
HN,0.00504121344903672
HE,0.0032371685433301304
GX,0.0028837589552620333
FX,0.002367052916812509
GU,0.002367052916812508
KR,0.11376710256148567
KK,0.09458782634058557
IV,0.06657679515739252
KQ,0.06639926463384882
IG,0.05963738023645534
KS,0.05823414140088017
IA,0.05070685428153487
KA,0.04897230698899216
ID,0.044297069691322084
KP,0.04243702427072101
HV,0.035549750334698524
KH,0.03480744696204617
IR,0.034357600665652334
KE,0.033822519035370986
KM,0.03355486520263895
IQ,0.03078818410482946
KT,0.02943061925636627
HY,0.027380457817876652
IK,0.020238120182227586
IY,0.020104072864823495
KG,0.01854429443954228
KL,0.01743719433695563
IM,0.014208242584731296
IL,0.013241631542252113
IW,0.012917936573100105
II,0.012409318805048803
IF,0.012240574328158756
IS,0.012025399192422313
KF,0.011595557781233263
IT,0.011270179793018382
KC,0.010719166722162119
IN,0.010038082410507774
KN,0.009076697338692083
HW,0.008716218044208484
IH,0.008686452443966345
KI,0.007485296321228923
IE,0.0033875610245132147
HX,0.00314899209981654
KU,0.0023670529168125054
IX,0.0023670529168124937
IP,0.001798149171718306
IC,0.0013566932467730997
KD,0.0007640333948427514
LG,0.06005984594421465
LE,0.05126936382594125
LS,0.0356424587311494
LA,0.032663712245184946
LD,0.019858496431272438
LV,0.04772436120156996
LM,0.03480537173418
LP,0.034311420116698965
KW,0.020061030848907056
MP,0.029417846023284
MS,0.026693477141318145
LF,0.024643126981417313
MI,0.023021353430878893
LN,0.02218288190965743
LW,0.02100404237542463
ME,0.02051388718224946
MH,0.01888551585477098
MN,0.018343433604973584
LI,0.017400399834486376
LK,0.016994241291728347
MT,0.016262636087208817
LL,0.016181723493728768
LR,0.015752313873946593
ML,0.014618413684562629
LQ,0.013965884919084631
KY,0.01039611770717283
LY,0.00908904380963523
LH,0.009061424123414392
MM,0.008816730391450674
KV,0.008486256266191605
MD,0.008290047664601875
MC,0.007413052065735729
MF,0.0071533428888504134
MA,0.006348561304955284
LC,0.005834538953776834
MG,0.002830181718018776
KX,0.0023670529168125084
LT,0.001752896013319102
MR,0.0015478588540697444
MK,0.001542449985165901
MQ,0.000773465925154184
PP,0.0914226255875411
PS,0.09108372004679854
NV,0.05020307477717815
NS,0.04919569789911585
PQ,0.04813833056179265
PK,0.047132067639072774
NG,0.04634209483250894
PH,0.041250981868385946
NR,0.040582676346202606
PR,0.038292753181472065
PA,0.03650838678035736
NK,0.03499811633553658
NW,0.0311629385033775
NF,0.02846738110624107
NA,0.022743571970675863
PG,0.022506643744781455
MV,0.019795044695665353
MY,0.01966510623939727
NQ,0.019492376523308874
PI,0.019183896613990035
NP,0.018086589751067833
PF,0.01665555122011337
PC,0.013387882943468175
PN,0.013253526230869806
NC,0.01291827352814089
NL,0.012241720924924253
NY,0.011634434375352585
NT,0.010130507219051338
PT,0.00981664261457062
PM,0.009142171245748607
NM,0.008779222304432548
NH,0.006318602217796277
NI,0.004871700559980215
NN,0.004827174390048535
PD,0.004403548241125341
PL,0.0036016225647310866
NE,0.0033464779740259147
MW,0.003234375774765172
ND,0.002590238676421678
PU,0.002367052916812505
NX,0.0023670529168124997
MX,0.002367052916812493
PE,0.0020027327110273526
RK,0.12400791161877776
QS,0.07592485876961531
RS,0.07087355770895634
RR,0.0638883756924176
QQ,0.06154537259476581
QT,0.060424109646856454
QR,0.05578859243092107
RT,0.05482976482396638
QE,0.05307733691323724
RL,0.04986342470999573
RH,0.04847652473112508
RE,0.044619563250141936
RQ,0.04393895487269603
RI,0.036157461377297584
QL,0.031702207012997884
QK,0.03030551541664091
QP,0.029830267162366583
QM,0.02657730141722126
QN,0.023994404061204826
RP,0.02189276871129362
PW,0.021452507670546763
QH,0.020141858572619013
RN,0.017430498372568395
QW,0.017175590037245298
RC,0.01687458779835822
RG,0.01495263293975189
RM,0.014638831048806668
QD,0.01334899865698495
QI,0.01123777479444505
QG,0.009921082484874631
RD,0.008476388538042327
QV,0.00707825610286522
QC,0.0032315803278028274
RA,0.002891740559909527
QF,0.0028087114529420747
QY,0.0026253624016186585
PX,0.002610340255366329
QX,0.0023670529168124924
QA,0.001309562914839294
PY,0.00029489659220861543
PV,5.587944843391156e-05
RF,9.231458120581767e-06
SP,0.12614071424098627
SS,0.10880167777574071
VV,0.0845270722420699
SE,0.0779633647684788
SR,0.07535595534796607
SK,0.0541933013579303
SQ,0.053287111414582325
ST,0.04469486450625955
SH,0.03210816694082146
SN,0.030949157607626485
SA,0.026551422140271768
TS,0.04358832416491888
TG,0.04237848216316746
TA,0.041505264214161786
TT,0.036864250720177585
TK,0.033735991728611775
TM,0.032305530537028684
TP,0.030649185571402948
SD,0.02672988830963779
TF,0.02572985964565668
TR,0.022864238962034697
TC,0.02278829269509765
SL,0.018379664650502326
TL,0.01747201335709272
SM,0.017266515023975006
TQ,0.01577903989283466
SV,0.014283994282421794
RY,0.013980577402676088
SW,0.01317992533200365
SG,0.012586613250842666
SC,0.011840146066135813
SY,0.00911483353724757
TN,0.008490953173007063
RW,0.007858362319489581
TD,0.007719465641756036
SI,0.0065328175329977855
TE,0.005577238806453549
RV,0.005018733390219791
RX,0.003336397475506946
SX,0.0032734130401187726
TI,0.0015714971325966923
TH,0.0006185943708435387
SF,0.00046604252259641174
VD,0.08464933819657067
VG,0.06995013626110866
VA,0.06185827621184988
VF,0.05825174950076304
VI,0.05098077950996595
TV,0.05067091011657343
VL,0.0463686062803102
VN,0.03986606846186208
WY,0.037657655635194257
WV,0.03578855655132106
WG,0.03514021274010047
WW,0.03296331149589695
WD,0.03076788288546873
WI,0.030118881370151326
WA,0.029202666249589886
WT,0.02647863504534636
WP,0.023604074974360643
WE,0.02240518296472934
WH,0.01608175144070643
WM,0.013117933378869382
WF,0.013063708245032
WS,0.012672723385782061
VY,0.01107756224309964
WL,0.010553542849020357
WN,0.008365989573284707
VW,0.00682160600871319
WK,0.005939606286779942
WR,0.0054312872722321595
WC,0.0043723597250596115
XG,0.0036086650089669557
XS,0.004178003899214154
WQ,0.0033981019784209265
XP,0.003322956816882297
XE,0.00314922918188592
XD,0.003018650560455198
XL,0.0029350944999258183
VX,0.0026906399054782123
XK,0.002680517922219241
XI,0.002367052916812509
XA,0.002367052916812501
XC,0.002367052916812501
XT,0.0023670529168124997
XH,0.002367052916812499
XQ,0.0023670529168124984
XF,0.0023670529168124937
XR,0.0023670529168124906
XM,0.002367052916812488
YD,0.038158558607427104
TY,0.033744640211116055
YG,0.03251209406988835
VP,0.0323326895072796
YV,0.03141580552432521
YW,0.030570751583543276
VE,0.028621474842906645
VT,0.027779498359250268
YY,0.027098778043241713
YF,0.027084922246661827
VM,0.026110443778784638
YA,0.022243798376005437
YN,0.021354891551117836
TW,0.02086905427803298
YT,0.020505248052183785
YQ,0.017809869498067395
YE,0.017306158949087675
YC,0.014781918447849813
VS,0.013541501260814378
YS,0.011919016547124921
YM,0.010792948036779429
YL,0.009560489188797362
VC,0.009496731643195097
VQ,0.008439648941448384
YK,0.007847487278648653
YP,0.007109248376326732
VK,0.006352157492105113
YR,0.005972124559404466
VR,0.004318766334008772
VH,0.00409123350045654
XY,0.0033414078393446383
UH,0.0032984704764808842
VU,0.0032984704764808842
YI,0.0026379517777804793
YH,0.0024934261174414172
XX,0.002367052916812509
UA,0.002367052916812508
UG,0.0023670529168125054
UL,0.002367052916812505
XV,0.0023670529168125037
UI,0.0023670529168125032
ZD,0.0023670529168124937
YX,0.0023670529168124906
NADH010103,0.21006748392392915
NADH010106,0.20612937715189847
VINM940103,0.20526318037952068
NADH010105,0.2026030341955417
FINA910103,0.20103493228213332
GUYH850101,0.2005407753011557
KRIW790101,0.19752621964221195
QIAN880122,0.1949582936337696
NADH010102,0.1947196405209
GUYH850105,0.1945438904084677
PALJ810104,0.19343029023280028
RADA880104,0.19336351846066718
ROSG850102,0.19147592641890343
CHOC760103,0.19068279467403795
BAEK050101,0.1904447257105499
CASG920101,0.18985188695184493
FASG890101,0.18746437640670252
EISD840101,0.18714279894947666
RACS770102,0.18587522001349469
BASU050103,0.1847671454805465
BIOV880101,0.18449972445736784
JANJ780102,0.18442441133609486
MEIH800102,0.18320751268693627
PONP800101,0.18304656028310143
CHOC760102,0.18303255406533037
JANJ790101,0.18284892819096346
MIYS990105,0.18243160680752613
NADH010101,0.1822523823036397
RICJ880113,0.181616768961324
MEIH800101,0.1808212180949849
MIYS990104,0.18008444224435682
PONP800102,0.17986447238099337
BIOV880102,0.17917129658738912
OLSK800101,0.1789227245470254
ZHOH040103,0.1785773237908752
MIYS990103,0.17849445876553466
PONP930101,0.17814771800255422
JANJ790102,0.17719028458445024
BEGF750102,0.17631280936257143
GUYH850104,0.17615864847112314
RADA880107,0.1757226258898359
CORJ870101,0.17563115810816013
COWR900101,0.1745354364598483
FAUJ880109,0.1745280079525184
MANP780101,0.17412156673959536
VINM940101,0.1739843458087386
CIDH920104,0.17388607470925768
NAKH900110,0.1734895040535084
JANJ780101,0.1731610279193459
KARP850102,0.17314308850565815
KRIW790102,0.1729000346201006
RADA880108,0.17288026939343507
NAGK730102,0.17283051654614706
NISK800101,0.17279742000593415
JANJ780103,0.17225232168658475
JURD980101,0.1720768804686606
PONP800108,0.17181709190426195
PONP800104,0.17159249611063287
VINM940104,0.17156251053024107
NISK860101,0.17111710496609822
RADA880101,0.16969418730086727
gravy,0.169636704602595
PUNT030101,0.1695103888593195
KYTJ820101,0.16899487799304314
PONP800103,0.1686178575899031
OOBM770103,0.16748584981106285
instability_index,0.16699604107644422
CHOP780209,0.16693317635099336
MIYS850101,0.16689115236837035
RADA880105,0.16649286346917827
KIDA850101,0.16633316673292037
EISD860103,0.16563447729775804
SUYM030101,0.16464292954664278
DESM900102,0.16416805265669313
PONP800107,0.16401845055438377
RACS770101,0.1640082423124724
PARS000101,0.1639750237615741
KANM800102,0.16392504405902136
ROSM880105,0.16292117673612402
CHOC760104,0.16224228741548855
PALJ810112,0.16213479263368122
KOEP990102,0.16196145710416562
RADA880102,0.16194078814702592
MAXF760106,0.16156630264868424
FAUJ830101,0.16141393419654368
OOBM770101,0.1613577604776155
WOLR810101,0.16099497189785672
FASG760102,0.1609899683240191
ROSM880102,0.16029274658498757
ROSM880101,0.16018572932210398
GEIM800107,0.15986075905873484
WOLR790101,0.1589203251315447
KUHL950101,0.15885325836567254
DESM900101,0.15878723903191355
PTIO830102,0.15808517101594016
MEEJ810102,0.15788626898513478
NOZY710101,0.15784826463231189
BLAS910101,0.157526311680259
PUNT030102,0.15674769352783274
MONM990201,0.15657407507102972
VHEG790101,0.1565103568862425
MIYS990102,0.15639132098656866
CHOP780202,0.1559711065385635
MIYS990101,0.1556465114059085
KARP850101,0.15550301135237632
JACR890101,0.15520487920791806
ISOY800106,0.15518052546727815
MEIH800103,0.1538525671661735
HOPT810101,0.15368178436889232
RACS770103,0.1536037737171815
LEVM780102,0.15323466763786678
PRAM900103,0.15323466763786678
MONM990101,0.15274056218180887
FUKS010104,0.15260651497032832
WERD780101,0.1524117021290902
LIFS790102,0.15157141958908207
EISD860101,0.15142619140086913
VINM940102,0.15122841715720692
BASU050101,0.15092428060877155
CIDH920105,0.15084246737875467
QIAN880121,0.1507301525903215
WILM950101,0.15041911388576498
GUYH850102,0.15018867892138998
GUOD860101,0.14970330638320925
GEOR030107,0.14959030821285013
OOBM850103,0.14915987866072333
LIFS790101,0.1489700866066926
BHAR880101,0.14777788624959434
BASU050102,0.14734409739856813
KRIW710101,0.14636749707897076
LEVM760101,0.14605124594693789
CHOP780213,0.14477600056595935
KANM800104,0.1435794914373418
PALJ810111,0.1434569195152298
FAUJ880111,0.1430880965969021
EISD860102,0.1428491792096207
VENT840101,0.1428242576346238
ZIMJ680104,0.1412592003443422
PONP800105,0.14124786180119914
PRAM900101,0.14067605127522753
CORJ870103,0.14066295446696553
ENGD860101,0.14060734181620502
SWER830101,0.14034436804035552
GRAR740102,0.1402148414519549
CORJ870106,0.13973290197453647
CORJ870102,0.13971275145191525
MEEJ810101,0.13954710800018788
CORJ870107,0.13934797931278298
WOLS870101,0.1376357273247776
LEVM780105,0.13677015449814356
PALJ810110,0.13659941459552968
NAKH900113,0.13549035342096646
CIDH920103,0.13534195255568088
CORJ870108,0.13520094849782494
YUTK870101,0.1348161126700507
CIDH920102,0.134466762476846
NAKH920108,0.13366080368539557
MEEJ800102,0.13256643958070818
FUKS010107,0.1321164970783069
VASM830102,0.13168966645404473
CEDJ970105,0.13155363113805238
PLIV810101,0.13116600553532842
MUNV940103,0.13086153606557763
ROBB760106,0.13024079700836522
CORJ870105,0.12969307343635209
RICJ880114,0.128109090410253
PALJ810103,0.12736320693015932
CORJ870104,0.12730168950476414
ROSM880104,0.12670178863930168
PARS000102,0.12668686812627866
NAKH900111,0.12642352911601734
helix,0.12630830692895406
WARP780101,0.1261538517253612
RICJ880116,0.12582085072138066
PARJ860101,0.12392276683274515
RICJ880111,0.12374594884756267
NAKH920106,0.12359017115302501
CRAJ730102,0.12334525800275126
g5.g5.g5,0.12218283869563962
ROBB790101,0.122070455103969
QIAN880120,0.12196221208617204
AURR980119,0.12185819001857026
WILM950102,0.12156172212827479
NAKH920105,0.12140979726648808
KLEP840101,0.1210664747081941
FAUJ880104,0.12105666082038039
RACS820101,0.11975570727571568
LIFS790103,0.1192704320679815
TANS770104,0.11839668404791491
GEOR030102,0.11779787482335408
GUYH850103,0.11694962904774313
GARJ730101,0.11683448869517787
FASG760105,0.11642446260413829
ZHOH040101,0.11601588716174341
CIDH920101,0.11523474520180634
GEIM800105,0.11455623209653516
ISOY800104,0.11428759980518576
HUTJ700103,0.11378133719376424
PONP800106,0.1133739860158196
OOBM850105,0.11294404195881828
GEOR030101,0.11290538494474844
FUKS010105,0.1126503129646781
AURR980116,0.11250399091525601
ROBB760105,0.11189570154819219
RACS820105,0.11124735048106157
FAUJ880110,0.11084404556446772
QIAN880131,0.10983977747083032
FUKS010106,0.1092966309493755
WIMW960101,0.10882307388779765
ZIMJ680105,0.10817171081039353
WEBA780101,0.10816029320096061
QIAN880134,0.10773276295076534
QIAN880119,0.10700068933548355
NADH010107,0.10671272882220104
BULH740101,0.10653603051399735
BROC820101,0.10617850554921088
QIAN880115,0.10542095438804476
JOND750102,0.10472862129041878
KARS160116,0.10273887510328072
ZIMJ680103,0.10263294655560966
YUTK870103,0.10241472189187978
YUTK870104,0.1022972461019754
charge,0.10202549349014113
AURR980106,0.1014881248659508
RACS820102,0.10144360220299799
WOLS870102,0.10070809049498114
WOEC730101,0.100343699148874
WERD780104,0.10017015171385739
QIAN880135,0.09899818967363888
FUKS010102,0.0989046219153396
KARS160114,0.09887520684636915
RACS820109,0.09847200213681123
KARP850103,0.09769536685936991
GEOR030106,0.09737053439585
CHAM820102,0.0971742096570714
TANS770106,0.09710994712352151
FUKS010108,0.09669326636379795
QIAN880127,0.09587727230159157
GEOR030103,0.09529480526185108
KARS160115,0.09517257824400423
RICJ880108,0.09502146858880348
g1.g2.g1,0.09479563476787167
OOBM770102,0.09469537990470014
MAXF760102,0.09454645829613806
FUKS010101,0.09443738479438188
WERD780103,0.09403106479212564
CHOP780207,0.0935768476516122
ARGP820103,0.09356746234276932
KARS160106,0.09343988681253841
CHAM830105,0.09332082762558633
g5.g5.g3,0.09294736468500299
TAKK010101,0.09270929904057831
CHOP780208,0.09122260132820631
YUTK870102,0.09121654403285802
GEOR030104,0.09089811100327742
DAWD720101,0.09085592830388804
CHOP780216,0.09024796743539454
AVBF000101,0.0898169831904598
KOEP990101,0.08938275080188438
QIAN880128,0.08921003142251496
KUMS000101,0.08909329360767933
QIAN880137,0.08882608781760198
CHOP780203,0.08851355916867909
AVBF000107,0.08844779977957531
QIAN880118,0.08823357688059799
HUTJ700102,0.08790164641537634
GEIM800110,0.08712822998613039
PALJ810115,0.08688646550333932
g1.g1.g2,0.08687034165307699
g2.g1.g1,0.08628357505148695
LEVM760102,0.08615954305431184
